file_name,movie_name,audience_rating,rating_key,year
G:\movies\8-Bit-Christmas.2021.REPACK.1080p.WEB.H264-PECULATE\8-Bit-Christmas.2021.REPACK.1080p.WEB.H264-PECULATE.mkv,8-Bit Christmas,6.7,131275,2021
G:\movies\12 Angry Men (1957)\12 Angry Men (1957) Remux-1080p.mkv,12 Angry Men,9.0,134580,1957
G:\movies\12.Strong.2018.HDRip.XviD.AC3-EVO\12.Strong.2018.HDRip.XviD.AC3-EVO.avi,12 Strong,6.6,52500,2018
G:\movies\13 Hours The Secret Soldiers of Benghazi (2016)\13 Hours The Secret Soldiers of Benghazi (2016) Bluray-2160p.mkv,13 Hours,7.3,133514,2016
G:\movies\21 Bridges (2019)\21.Bridges.2019.1080p.BluRay.x264-AAA.mkv,21 Bridges,6.6,122201,2019
G:\movies\22.vs.Earth.2021.720p.WEB.h264-KOGi\22.vs.Earth.2021.720p.WEB.h264-KOGi.mkv,22 vs. Earth,6.5,129376,2021
F:\Movies\65.2023.1080p.WEBRip.x264-LAMA\65.2023.1080p.WEBRip.x264-LAMA.mp4,65,5.7,149036,2023
F:\Movies\65.2023.1080p.WEB-DL.DDP5.1.Atmos.x264-AOC\65.2023.1080p.WEB-DL.DDP5.1.Atmos.x264-AOC.mkv,65,5.7,149036,2023
F:\Movies\80.For.Brady.2023.1080p.WEBRip.x264-LAMA\80.For.Brady.2023.1080p.WEBRip.x264-LAMA.mp4,80 for Brady,5.8,147497,2023
G:\movies\1917 (2019)\1917.2019.2160p.WEB-DL.DDP5.1.HEVC-BLUTONiUM.mkv,1917,8.3,113541,2019
G:\movies\2012.2009.720p.BRRIP.x264.AC3-MAJESTiC\2012.2009.720p.BRRIP.x264.AC3-MAJESTiC.mkv,2012,5.8,133107,2009
F:\Movies\Accident.Man.Hitmans.Holiday.2022.1080p.WEB-DL.DD5.1.H.264-EVO.mkv,Accident Man: Hitman's Holiday,5.8,137363,2022
G:\movies\Accident Man Hitman's Holiday (2022)\Accident.Man.Hitmans.Holiday.2022.1080p.WEB-DL.DD5.1.H.264-EVO.mkv,Accident Man: Hitman's Holiday,5.8,137363,2022
G:\movies\The Accountant (2016)\The Accountant 2016 1080p Blu-ray Remux AVC DTS-HD MA 7.1 - KRaLiMaRKo.mkv,The Accountant,7.3,27852,2016
G:\movies\The.Adam.Project.2022.1080p.NF.WEB-DL.DDP5.1.Atmos.HEVC-CMRG\The.Adam.Project.2022.1080p.NF.WEB-DL.DDP5.1.Atmos.HEVC-CMRG.mkv,The Adam Project,8.3,132806,2022
"G:\movies\The Adventures of Priscilla, Queen of the Desert (1994)\The Adventures of Priscilla, Queen of the Desert (1994) Bluray-1080p.mkv","The Adventures of Priscilla, Queen of the Desert",7.5,134557,1994
F:\Movies\The.Adventures.of.Robin.Hood.1938.1080p.BluRay.x264-nikt0\The.Adventures.of.Robin.Hood.1938.1080p.BluRay.x264-nikt0.mkv,The Adventures of Robin Hood,7.9,139910,1938
G:\movies\The Adventures of Robin Hood (1938)\The.Adventures.of.Robin.Hood.1938.1080p.BluRay.x264-nikt0.mkv,The Adventures of Robin Hood,7.9,139910,1938
F:\Movies\Aftersun.2022.1080p.WEBRip.AAC2.0.x264-NOGRP\Aftersun.2022.1080p.WEBRip.AAC2.0.x264-NOGRP.mkv,Aftersun,7.8,140508,2022
G:\movies\Aftersun (2022)\Aftersun.2022.1080p.WEBRip.AAC2.0.x264-NOGRP.mkv,Aftersun,7.8,140508,2022
G:\movies\Against.the.Ice.2022.1080p.NF.WEB-DL.DDP5.1.Atmos.x264-EVO\Against.the.Ice.2022.1080p.NF.WEB-DL.DDP5.1.Atmos.x264-EVO.mkv,Against the Ice,6.5,132802,2022
G:\movies\Airplane! (1980)\Airplane! 1980 1080p Blu-ray AVC DTS MKVRG.mkv,Airplane!,7.7,116586,1980
G:\movies\Kids\Movies\Aladdin.1992.720p.BluRay.X264-AMIABLE\Aladdin.1992.720p.BluRay.X264-AMIABLE.mkv,Aladdin,8.0,127694,1992
G:\movies\Alien.1979.Directors.Cut.720p.BluRay.x264-MELiTE\melite-alien1-720p.mkv,Alien,8.4,103145,1979
G:\movies\Aliens.1986.Special.Edition.720p.BluRay.x264-MELiTE\melite-aliens2-720p.mkv,Aliens,8.3,103143,1986
G:\Sonarr\All.the.Old.Knives.2022.1080p.AMZN.WEB-DL.DDP5.1.H.264-EVO.mkv,All the Old Knives,6.1,149403,2022
G:\movies\Alone.(2020).1080p.Bluray.Remux.AVC.DTS-HD.MA.5.1-4K4U\Alone.2020.1080p.Bluray.Remux.AVC.DTS-HD.MA.5.1-4K4U.mkv,Alone,6.2,126574,2020
F:\Movies\The.Amazing.Maurice.2022.1080p.NOW.WEB-DL.DDP5.1.H.264-SMURF.mkv,The Amazing Maurice,6.3,145976,2022
F:\Movies\The.Amazing.Maurice.2022.1080p.WEB.H264-SLOT\the.amazing.maurice.2022.1080p.web.h264-slot.mkv,The Amazing Maurice,6.3,145976,2022
G:\movies\The Amazing Spider-Man 2012 10bit hevc-d3g\The Amazing Spider-Man 2012 BluRay 10Bit 1080p DD5.1 H265-d3g.mkv,The Amazing Spider-Man,6.9,130528,2012
F:\Movies\Amsterdam.2022.1080p.WEB-DL.DDP5.1.Atmos.H.264-EVO\Amsterdam.2022.1080p.WEB-DL.DDP5.1.Atmos.H.264-EVO.mkv,Amsterdam,6.1,137536,2022
F:\Movies\Amsterdam 2022 1080p Blu-ray Remux AVC DTS-HD MA 7.1-HDT.mkv,Amsterdam,6.1,137536,2022
F:\Movies\Amsterdam 2022 BluRay 1080p REMUX AVC DTS-HD MA 7.1-LEGi0N\Amsterdam.2022.BluRay.1080p.REMUX.AVC.DTS-HD.MA.7.1-LEGi0N.mkv,Amsterdam,6.1,137536,2022
F:\Movies\Amsterdam.2022.1080p.BluRay.x264-OFT\Amsterdam.2022.1080p.BluRay.x264-OFT.mkv,Amsterdam,6.1,137536,2022
F:\Movies\Amsterdam.2022.1080p.BluRay.REMUX.AVC.DTS-HD-MA.7.1-UnKn0wn\Amsterdam.2022.1080p.BluRay.REMUX.AVC.DTS-HD-MA.7.1-UnKn0wn.mkv,Amsterdam,6.1,137536,2022
G:\movies\Amsterdam (2022)\Amsterdam.2022.1080p.WEB-DL.DDP5.1.Atmos.H.264-EVO.mkv,Amsterdam,6.1,137536,2022
G:\movies\Amsterdam (2022)\Amsterdam.2022.1080p.BluRay.x264-OFT.mkv,Amsterdam,6.1,137536,2022
G:\movies\Amsterdam (2022)\Amsterdam 2022 1080p Blu-ray Remux AVC DTS-HD MA 7.1-HDT.mkv,Amsterdam,6.1,137536,2022
F:\Movies\Amsterdam.2022.720p.WEB.H264-SLOT\amsterdam.2022.720p.web.h264-slot.mkv,Amsterdam,6.1,137536,2022
G:\movies\Amsterdam (2022)\Amsterdam.2022.720p.WEB.H264-SLOT.mkv,Amsterdam,6.1,137536,2022
G:\movies\The.Angry.Birds.Movie.2.2019.720p.BRRip.X264.AC3-EVO\The Angry Birds Movie 2.2019.720p.BRRip.X264.AC3-EVO.mkv,The Angry Birds Movie 2,6.4,119577,2019
G:\movies\Anna (2019)\Anna.2019.1080p.BluRay.x264-SPARKS.mkv,Anna,6.7,106288,2019
G:\movies\Annabelle Comes Home (2019)\Annabelle Comes Home.2019.1080p.WEB-DL.H264.AC3-EVO.mkv,Annabelle Comes Home,5.9,106291,2019
G:\movies\Ant-Man.2015.1080p.BluRay.x264-SPARKS\Ant-Man.2015.1080p.BluRay.x264-SPARKS.mkv,Ant-Man,7.3,117604,2015
G:\movies\Ant-Man and the Wasp (2018)\Ant.Man.and.the.Wasp.2018.1080p.WEB-DL.H264.AC3-EVO.mkv,Ant-Man and the Wasp,7.0,54361,2018
F:\Movies\The.Anthrax.Attacks.2022.720p.WEB.h264-KOGi\The.Anthrax.Attacks.2022.720p.WEB.h264-KOGi.mkv,The Anthrax Attacks,6.2,136937,2022
G:\movies\The Anthrax Attacks In the Shadow of 9+11 (2022)\The.Anthrax.Attacks.2022.720p.WEB.h264-KOGi.mkv,The Anthrax Attacks,6.2,136937,2022
G:\movies\Antlers.2021.1080p.WEB-DL.DD5.1.H.264-EVO.mkv,Antlers,6.1,131282,2021
